               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11484,             0.02029,                   0,            0.005095,             0.96296,           0.0049949,          0.00065487,            0.070906,            0.015465,                   0,               2e-05,               2e-05,             0.09982
                   1,             0.11367,            0.020482,                   0,            0.005193,             0.98148,           0.0052272,          0.00070104,            0.066567,            0.016207,                   0,          4.9998e-05,          4.9998e-05,             0.09955
                   2,             0.10445,            0.022515,                   0,           0.0055695,             0.74074,           0.0044628,          0.00057801,            0.062117,            0.016782,                   0,          7.9989e-05,          7.9989e-05,             0.09928
                   3,            0.096657,            0.023809,                   0,           0.0085971,             0.48148,           0.0090241,           0.0011461,            0.058493,            0.017268,                   0,          0.00010996,          0.00010996,             0.09901
                   4,            0.090226,            0.021856,                   0,            0.011762,                   1,            0.012651,           0.0020732,            0.054464,            0.018083,                   0,          0.00013992,          0.00013992,             0.09874
                   5,            0.088054,            0.023951,                   0,            0.014351,             0.57407,            0.014934,           0.0023881,            0.051282,            0.018821,                   0,          0.00016985,          0.00016985,             0.09847
                   6,            0.084277,            0.024352,                   0,            0.015276,             0.61111,            0.014847,           0.0024278,            0.048809,            0.019409,                   0,          0.00019974,          0.00019974,              0.0982
                   7,            0.084429,            0.026219,                   0,            0.013002,             0.61111,            0.010285,           0.0017243,            0.049077,            0.019171,                   0,           0.0002296,           0.0002296,             0.09793
                   8,            0.081864,            0.027342,                   0,            0.014352,             0.57407,            0.010129,           0.0017327,            0.049981,            0.018764,                   0,          0.00025941,          0.00025941,            0.097659
                   9,            0.077253,            0.027551,                   0,            0.012214,             0.57407,           0.0099498,           0.0016777,            0.049967,            0.018672,                   0,          0.00028917,          0.00028917,            0.097389
                  10,            0.078224,            0.026392,                   0,            0.010959,             0.53704,            0.010013,           0.0015008,            0.050045,            0.018592,                   0,          0.00031886,          0.00031886,            0.097119
